Metric,Window,Value
SE_pct_reduction_vs_baseline__All Texts,All positions (k=1..19),10.26
SE_pct_reduction_vs_baseline__Top 5 Texts,All positions (k=1..19),6.9
SE_pct_reduction_vs_baseline__All Texts,Early positions (k=1..10),11.99
SE_pct_reduction_vs_baseline__Top 5 Texts,Early positions (k=1..10),8.06
dR2_vs_baseline__All Texts,All positions (k=1..19),0.03
dR2_vs_baseline__Top 5 Texts,All positions (k=1..19),0.02
dR2_vs_baseline__All Texts,Early positions (k=1..10),0.04
dR2_vs_baseline__Top 5 Texts,Early positions (k=1..10),0.03
